step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_waiting_time
920.0,14,354.0,8.045454545454545,4.865748326627474,14,432.0,0.2008029707889797,14,432.0,237.38636363636363
925.0,13,86.0,2.0476190476190474,4.228733583289535,13,261.0,0.17033048404423967,13,261.0,250.14285714285714
930.0,19,166.0,4.15,3.589223512878346,19,255.0,0.1715236523763537,19,255.0,264.7
935.0,19,220.0,5.641025641025641,2.402086892738975,19,323.0,0.08742408743791286,19,323.0,274.12820512820514
940.0,16,247.0,5.040816326530612,5.478290568043034,16,343.0,0.3051881450171892,16,343.0,219.9387755102041
945.0,10,155.0,3.297872340425532,5.195904004480556,10,335.0,0.260440479467194,10,335.0,230.68085106382978
950.0,13,168.0,3.4285714285714284,4.2710717396857865,13,300.0,0.19848215085481538,13,300.0,222.3673469387755
955.0,18,217.0,4.717391304347826,3.458517749270562,18,354.0,0.13936967903499145,18,354.0,238.82608695652175
960.0,17,268.0,5.826086956521739,3.851489792131444,17,391.0,0.1529872983408974,17,391.0,240.80434782608697
965.0,14,111.0,2.4130434782608696,4.117074362677647,14,357.0,0.1670751039348855,14,357.0,242.5
970.0,16,148.0,3.3636363636363638,4.29724970175707,16,305.0,0.18591951122889255,16,305.0,255.1590909090909
975.0,19,192.0,3.9183673469387754,4.868321994072467,19,328.0,0.2147908297367735,19,328.0,230.9795918367347
980.0,14,220.0,4.489795918367347,5.600606069891093,14,350.0,0.27034610596202296,14,350.0,232.59183673469389
985.0,10,120.0,2.5531914893617023,3.9142825321795636,10,329.0,0.18628273222704547,10,329.0,243.72340425531914
990.0,15,135.0,2.9347826086956523,4.023495950866011,15,294.0,0.1877446836790581,15,294.0,250.34782608695653
995.0,19,166.0,3.688888888888889,3.1968896345873574,19,335.0,0.13101352582584952,19,335.0,257.84444444444443
1000.0,18,194.0,4.041666666666667,4.494892956994111,18,350.0,0.18556993540893835,18,350.0,243.5625
1005.0,14,241.0,5.355555555555555,5.115267741635158,14,354.0,0.17526323023413395,14,354.0,261.5777777777778
1010.0,11,229.0,4.490196078431373,5.7880446301139195,11,362.0,0.3330218157757497,11,362.0,232.0392156862745
1015.0,13,270.0,5.74468085106383,5.845997191441115,13,365.0,0.3361201354033902,13,365.0,253.0
1020.0,16,305.0,6.48936170212766,3.8767619009734986,16,409.0,0.18872003252411249,16,409.0,254.70212765957447
1025.0,19,345.0,7.040816326530612,4.052559546678525,19,444.0,0.16780536949442484,19,444.0,246.12244897959184
1030.0,13,235.0,5.0,4.20467930616785,13,431.0,0.1872460034988187,13,431.0,258.29787234042556
1035.0,17,289.0,6.4222222222222225,3.9210760156465096,17,407.0,0.17572184422285744,17,407.0,271.35555555555555
1040.0,18,342.0,7.434782608695652,4.00695040672642,18,452.0,0.145522586293083,18,452.0,267.54347826086956
1045.0,16,372.0,7.75,5.025204104552372,16,475.0,0.2256769781041145,16,475.0,258.0625
1050.0,9,285.0,6.333333333333333,4.6587424417335175,9,461.0,0.2353682460110891,9,461.0,276.64444444444445
1055.0,12,302.0,6.565217391304348,5.05456881308695,12,435.0,0.264047993122289,12,435.0,271.7391304347826
1060.0,17,328.0,7.288888888888889,3.318584514673096,17,451.0,0.12139690413568105,17,451.0,279.3777777777778
1065.0,14,363.0,7.723404255319149,4.763269996583571,14,466.0,0.18106634425103618,14,466.0,269.1489361702128
1070.0,14,415.0,9.431818181818182,5.457200173466017,14,477.0,0.18604934331821332,14,477.0,288.97727272727275
1075.0,11,125.0,2.9761904761904763,5.194395375547946,11,294.0,0.2599111304089914,11,294.0,304.14285714285717
1080.0,17,195.0,5.416666666666667,3.0322630968189843,17,260.0,0.10426936516049014,17,260.0,356.77777777777777
1085.0,19,251.0,5.340425531914893,5.017093318655753,19,328.0,0.29644500323039086,19,328.0,275.3829787234043
1090.0,13,279.0,6.2,5.02348432604225,13,341.0,0.2578326368510728,13,341.0,289.26666666666665
1095.0,12,173.0,3.46,4.427222588217155,12,325.0,0.19569795226860048,12,325.0,261.62
1100.0,17,223.0,4.8478260869565215,4.372380555600295,17,303.0,0.16749108966762202,17,303.0,285.95652173913044
1105.0,20,123.0,2.617021276595745,4.0212710382728885,20,298.0,0.16338551335803958,20,298.0,281.9148936170213
1110.0,24,211.0,4.795454545454546,3.8921494702958173,24,287.0,0.11014895490326848,24,287.0,303.6136363636364
1115.0,23,234.0,5.2,3.424262049517495,23,360.0,0.10394737010757403,23,360.0,299.55555555555554
1120.0,19,213.0,4.630434782608695,4.719533433945662,19,359.0,0.21260796630896894,19,359.0,295.30434782608694
1125.0,15,220.0,4.680851063829787,6.645324631529374,15,356.0,0.32456897319721406,15,356.0,290.8085106382979
1130.0,14,246.0,5.590909090909091,6.465641648125396,14,350.0,0.25215330132450703,14,350.0,312.20454545454544
1135.0,10,134.0,3.268292682926829,5.739595276873719,10,346.0,0.27540343611798535,10,346.0,336.5609756097561
1140.0,13,179.0,4.837837837837838,4.936069331083152,13,311.0,0.23310061630609424,13,311.0,374.4594594594595
1145.0,15,212.0,5.3,4.4129446071702105,15,347.0,0.18834118285618714,15,347.0,348.225
1150.0,12,251.0,6.605263157894737,5.499119975671202,12,360.0,0.25262306796332173,12,360.0,368.2631578947368
1155.0,9,168.0,3.574468085106383,5.986482064381458,9,344.0,0.3368036365866125,9,344.0,298.8936170212766
1160.0,15,236.0,5.619047619047619,5.329078306652001,15,345.0,0.29843661259551146,15,345.0,336.0952380952381
1165.0,17,263.0,5.595744680851064,3.6973684918252885,17,385.0,0.18352315111945797,17,385.0,302.06382978723406
1170.0,18,309.0,7.186046511627907,4.104570006225907,18,403.0,0.1829631533773355,18,403.0,332.1860465116279
1175.0,14,196.0,4.260869565217392,4.554083425566076,14,298.0,0.1956309361733764,14,298.0,312.2391304347826
1180.0,19,275.0,6.25,3.982030668073905,19,365.0,0.149645800939701,19,365.0,328.3636363636364
1185.0,19,181.0,4.209302325581396,3.2510330214727747,19,385.0,0.15275837897909159,19,385.0,338.3720930232558
1190.0,20,239.0,5.195652173913044,4.5478891847412015,20,362.0,0.2644660329667287,20,362.0,318.39130434782606
1195.0,19,239.0,4.979166666666667,4.604514670762087,19,375.0,0.21376314358013582,19,375.0,307.25
1200.0,16,201.0,4.369565217391305,4.058289155611052,16,366.0,0.1511305380837961,16,366.0,322.5869565217391
1205.0,18,229.0,4.978260869565218,5.206450572942137,18,366.0,0.20542271451701372,18,366.0,324.4347826086956
1210.0,12,99.0,2.302325581395349,4.979492388550386,12,348.0,0.22273942367705604,12,348.0,348.86046511627904
1215.0,15,122.0,2.9047619047619047,5.162090923018143,15,311.0,0.22757109074384163,15,311.0,358.54761904761904
1220.0,17,162.0,3.951219512195122,4.213439467910515,17,350.0,0.1751551231455715,17,350.0,369.3658536585366
1225.0,14,190.0,4.318181818181818,5.168751028828932,14,354.0,0.2621496123129836,14,354.0,345.79545454545456
1230.0,8,62.0,1.2916666666666667,5.838923676967368,8,326.0,0.3209459877394931,8,326.0,318.1041666666667
1235.0,8,58.0,1.3181818181818181,5.09978528997232,8,257.0,0.2425407498699551,8,257.0,347.79545454545456
1240.0,14,81.0,1.7608695652173914,4.122002932689495,14,253.0,0.16195336718284198,14,253.0,334.0217391304348
1245.0,13,112.0,2.5454545454545454,4.504485816105079,13,259.0,0.14406656765224202,13,259.0,350.79545454545456
1250.0,10,60.0,1.3636363636363635,4.6368345463762495,10,223.0,0.2124698155001488,10,223.0,352.0681818181818
